,anger,joy,disgust,sadness,surprise,anticipation,positive,fear,trust,negative,valid_tweet_count
TheBagLadyBaySt.csv,0.012026491512244282,0.06805399887904832,0.007115504673876586,0.015387845002755947,0.021676423321154718,0.05336096406745032,0.09774122338899474,0.013878216783326238,0.0638919311757316,0.030523414672250074,920.0
bootleg55_.csv,0.018658424908424908,0.02798115862631992,0.008923648036551261,0.014216100113808096,0.021903924928118476,0.02622715546102643,0.04651379086862957,0.024750682019357744,0.03424314967714798,0.038779939406000524,124.0
sventennis.csv,0.008477403761449512,0.03102152964989588,0.0045673699916403045,0.007830639412072564,0.013501984397414095,0.03469776821881536,0.06704520126135524,0.009566365419576828,0.0421237551681944,0.019534070593345283,8407.0
only1lovelylady_.csv,0.01246026700572155,0.058848287401697036,0.010599704590597418,0.01623622389768009,0.015655720791413277,0.03694069732006774,0.08042145652288922,0.026356270184887395,0.06863471573860705,0.023904405527433663,143.0
Fold_Alot.csv,0.014403808196911646,0.017350848385331144,0.013926622547312202,0.02486901348970315,0.005427841634738187,0.04055186512083064,0.052935474487198625,0.01585220016254499,0.029637763258452913,0.05160351781041435,87.0
srininad.csv,0.015086466165413532,0.06693416258663938,0.0031111111111111114,0.016542492595124175,0.026733058135534914,0.06021976793416424,0.09393473511352772,0.012930659983291562,0.0697097554148638,0.027730766309713675,50.0
dootsonlady.csv,0.0045881805739206374,0.014046044462240516,0.0018004458194381967,0.0029966714258306006,0.00679824811108134,0.019189797290324443,0.03300781714769899,0.008514798906460272,0.02960049258464655,0.00915209572061991,906.0
winecc.csv,0.0043690608908000216,0.023300309097742188,0.002258060610463356,0.0065031237514075035,0.008512595125867438,0.03561849308416815,0.04203290118497562,0.007604050538833148,0.025288161486052247,0.014712145003907018,69.0
smodisette.csv,0.014423076923076922,0.008639182168593934,0.0125,0.0019230769230769232,0.0076210826210826215,0.025622612967814207,0.03296897031417155,0.018425738491527965,0.011773299295985322,0.05507478632478633,20.0
poopthought.csv,0.016545965000318387,0.028839124131727446,0.009951203228613436,0.0156162063840258,0.018910637099996366,0.038958165170577444,0.06151240247045755,0.02440532692881742,0.03994772818755068,0.032697778163001116,69.0
amityron112.csv,0.015508229969014284,0.0342171980594016,0.009334389889945446,0.018582079296365014,0.018560432029152855,0.033009165852303096,0.06562681793774226,0.025388544436163483,0.04888579665657163,0.036384419519340155,189.0
ShowalterMG.csv,0.008801588417967729,0.04078353725005818,0.014724671292368825,0.01632664890691261,0.022828859867134614,0.030660631409067517,0.06752894316817291,0.008636035999398965,0.04272395293529714,0.025477988902826407,100.0
RobinRoberts.csv,0.009863154154986694,0.06130788166574501,0.005167046634539201,0.010152259702151254,0.025410912660964912,0.061193178762276514,0.09020797353294167,0.01222416945803406,0.052836232975795025,0.01907050465384076,31687.0
eliza_laskowski.csv,0.013302564207393636,0.030318199435391383,0.01392493789363369,0.022600628073220042,0.00967078690228861,0.02487896116009029,0.05764431871171015,0.01995865861963472,0.03421744587285419,0.033329429663092554,329.0
fly5962_.csv,0.009645387850516055,0.040674862937962145,0.003513770180436847,0.007749665483779197,0.017677880049674924,0.03273613737103146,0.05542203945771392,0.011411273911273908,0.043980618250406424,0.018276365754069206,117.0
