,count,ttlLen,list-1-w,list-1-f,list-2-w,list-2-f,list-3-w,list-3-f,list-4-w,list-4-f,list-5-w,list-5-f,list-6-w,list-6-f,list-7-w,list-7-f,list-8-w,list-8-f,list-9-w,list-9-f,list-10-w,list-10-f
Jen_Everitt.csv,863,6496,old_JJ,0.005233990147783251,good_JJ,0.0033866995073891628,many_JJ,0.0033866995073891628,little_JJ,0.0033866995073891628,last_JJ,0.0033866995073891628,much_JJ,0.0033866995073891628,sweet_JJ,0.003078817733990148,brian_JJ,0.002770935960591133,best_JJS,0.0024630541871921183,real_JJ,0.0021551724137931034
MalanaShea.csv,1924,11852,good_JJ,0.005568680391495107,new_JJ,0.0048936888288896386,lol_JJ,0.0026999662504218697,black_JJ,0.002362470469119136,open_JJ,0.0021937225784677693,last_JJ,0.0021937225784677693,follow_JJ,0.0020249746878164025,live_JJ,0.0018562267971650355,happy_JJ,0.0018562267971650355,best_JJS,0.0016874789065136687
robveteran2232.csv,153,309,potential_JJ,0.006472491909385114,brown_JJ,0.006472491909385114,america_JJ,0.006472491909385114,automatic_JJ,0.006472491909385114,abo_JJ,0.006472491909385114,naval_JJ,0.003236245954692557,fest_JJS,0.003236245954692557,ive_JJ,0.003236245954692557,lime_JJ,0.003236245954692557,corona_JJ,0.003236245954692557
ILIntelCorp.csv,4552,50166,black_JJ,0.004963521109915082,white_JJ,0.0034884184507435315,good_JJ,0.002451859825379739,much_JJ,0.0020332496112905156,military_JJ,0.002013315791571981,real_JJ,0.001794043774668102,sure_JJ,0.0017741099549495674,new_JJ,0.0016943746760754296,right_JJ,0.0016345732169198261,dont_JJ,0.0016146393972012918
dvc9999.csv,328,1494,great_JJ,0.006693440428380187,cant_JJ,0.006693440428380187,anthem_JJ,0.00535475234270415,awesome_JJ,0.00535475234270415,nice_JJ,0.004016064257028112,best_JJS,0.004016064257028112,wish_JJ,0.002677376171352075,wrong_JJ,0.002677376171352075,sure_JJ,0.002677376171352075,dont_JJ,0.002677376171352075
dcbrant.csv,663,4308,good_JJ,0.009749303621169917,poor_JJ,0.008356545961002786,true_JJ,0.004874651810584958,great_JJ,0.004874651810584958,happy_JJ,0.003481894150417827,nice_JJ,0.003481894150417827,different_JJ,0.002785515320334262,new_JJ,0.002785515320334262,free_JJ,0.002785515320334262,awesome_JJ,0.002785515320334262
jtkstc.csv,2139,20937,biden_JJ,0.004441897119931222,pandemic_JJ,0.0031523140851124802,trump_JJ,0.0030567894158666474,new_JJ,0.0024836414003916512,democratic_JJ,0.002435879065768735,good_JJ,0.0017672063810479056,coronavirus_JJ,0.001671681711802073,white_JJ,0.0016239193771791565,sure_JJ,0.0015761570425562401,bad_JJ,0.0015761570425562401
CullenYossarian.csv,5560,29938,good_JJ,0.00447591689491616,new_JJ,0.004108490881154386,thankful_JJ,0.0027389939207695907,presidential_JJ,0.0027055915558821565,public_JJ,0.0024717750016701183,much_JJ,0.0023715679070078163,democratic_JJ,0.0023715679070078163,american_JJ,0.0022713608123455143,best_JJS,0.0022713608123455143,many_JJ,0.0019373371634711738
JustCallMeRage.csv,16417,77107,good_JJ,0.007249666048478089,real_JJ,0.0027494261221419586,new_JJ,0.00259379822843581,bad_JJ,0.0024770773081561983,little_JJ,0.002347387396734408,dont_JJ,0.00232144941445005,cant_JJ,0.0021269145473173643,nice_JJ,0.002088007573890827,many_JJ,0.0016989378396254555,lol_JJ,0.001543309945919307
StMarthasTable.csv,1280,7768,impact_JJ,0.01004119464469619,real_JJ,0.008496395468589083,live_JJ,0.007723995880535531,vocal_JJ,0.006179196704428424,good_JJ,0.003733264675592173,great_JJ,0.0028321318228630276,new_JJ,0.0027033985581874356,lyric_JJ,0.0018022657054582905,tiny_JJ,0.0018022657054582905,christian_JJ,0.0018022657054582905
amwyatt.csv,201,2234,great_JJ,0.005371530886302597,new_JJ,0.004476275738585497,first_JJ,0.004476275738585497,awesome_JJ,0.0035810205908683975,local_JJ,0.0035810205908683975,similar_JJ,0.0026857654431512983,different_JJ,0.0026857654431512983,whole_JJ,0.0026857654431512983,red_JJ,0.0026857654431512983,least_JJS,0.0026857654431512983
idfsniper.csv,591,13158,liberal_JJ,0.005091959264325885,many_JJ,0.004711962304301566,real_JJ,0.004559963520291838,global_JJ,0.004103967168262654,political_JJ,0.0024319805441556466,deep_JJ,0.002279981760145919,progressive_JJ,0.001975984192126463,stupid_JJ,0.001899984800121599,great_JJ,0.001823985408116735,new_JJ,0.0017479860161118712
Pharoe73.csv,59,271,strong_JJ,0.007380073800738007,former_JJ,0.007380073800738007,queen_JJ,0.0036900369003690036,boris_JJ,0.0036900369003690036,impeachment_JJ,0.0036900369003690036,suppo_JJ,0.0036900369003690036,schiffs_JJ,0.0036900369003690036,sorry_JJ,0.0036900369003690036,happy_JJ,0.0036900369003690036,famous_JJ,0.0036900369003690036
en4cer18.csv,170,1366,new_JJ,0.005124450951683748,free_JJ,0.004392386530014641,giveaway_JJ,0.004392386530014641,win_JJ,0.0036603221083455345,true_JJ,0.0036603221083455345,gear_JJ,0.0036603221083455345,white_JJ,0.0029282576866764276,military_JJ,0.0029282576866764276,black_JJ,0.0029282576866764276,postal_JJ,0.0029282576866764276
JeremyPing1.csv,280,2822,great_JJ,0.007795889440113395,good_JJ,0.007087172218284904,many_JJ,0.004606661941885188,sure_JJ,0.0038979447200566974,military_JJ,0.0038979447200566974,big_JJ,0.003543586109142452,orite_JJ,0.0031892274982282067,much_JJ,0.0031892274982282067,last_JJ,0.002834868887313962,first_JJ,0.002834868887313962
jscherer100.csv,2225,7858,right_JJ,0.009544413336726903,good_JJ,0.007635530669381522,sad_JJ,0.006108424535505218,true_JJ,0.004199541868159837,wrong_JJ,0.004199541868159837,best_JJS,0.003945024179180453,real_JJ,0.003435988801221685,great_JJ,0.003054212267752609,many_JJ,0.0022906592008144567,scary_JJ,0.0022906592008144567
WarHunden.csv,2386,11004,good_JJ,0.0055434387495456195,right_JJ,0.0024536532170119957,new_JJ,0.0022719011268629587,black_JJ,0.0019992729916394037,american_JJ,0.0018175209014903672,great_JJ,0.0018175209014903672,last_JJ,0.0017266448564158489,much_JJ,0.0017266448564158489,lol_JJ,0.0016357688113413304,sure_JJ,0.0015448927662668121
McGuireArmyNavy.csv,555,4167,military_JJ,0.01079913606911447,new_JJ,0.009839212862970962,genuine_JJ,0.004799616030717543,happy_JJ,0.004559635229181665,great_JJ,0.00335973122150228,free_JJ,0.00335973122150228,good_JJ,0.0031197504199664025,black_JJ,0.0028797696184305254,navy_JJ,0.0028797696184305254,warm_JJ,0.0028797696184305254
