,disgust,trust,surprise,fear,sadness,joy,negative,anticipation,anger,positive,valid_tweet_count
NjVeterans.csv,0.001176178370006721,0.0444283447351874,0.0037068864776142706,0.007056013789193366,0.0042199116257723,0.04514149355530358,0.013794974181048514,0.02878137011779539,0.0027424493936617574,0.0677636848585955,244.0
FadedCanaDave.csv,0.017763172938480117,0.03462837419691991,0.02012764631166038,0.019394812552632115,0.019048070500742982,0.03278366336267548,0.04198439963998055,0.036394564806475,0.019895908815920887,0.061138034163984785,7696.0
CommonSense316.csv,0.017741888572680543,0.039493432255250684,0.016762562691891046,0.019666464720528624,0.01806156640372879,0.025662361093522507,0.04868728137840959,0.025415182052154553,0.021359847198727595,0.05500735761628743,2227.0
clsavage_7.csv,0.009732520776343722,0.06669897013356099,0.024040675725487223,0.012099378713105817,0.018896487093293977,0.045469948104484424,0.0358263448988575,0.0390526557836076,0.01989466110824007,0.0807216975855654,239.0
RaymondEMosher.csv,0.01804129936199083,0.03901830681922357,0.02873490704814907,0.02675163037069085,0.02505757094457609,0.02531310214064929,0.05243983377500366,0.029513948147784155,0.026405095762259145,0.05377377819389445,1500.0
Ginalolaknits.csv,0.0007104593681039964,0.0024057341491292403,0.0014718668730644363,0.0010635323761764592,0.0008256317686319427,0.0017738606435459495,0.0020801710469288666,0.0019217968838666968,0.0010426703222391274,0.003245356299102309,7920.0
NormanZolkosMLO.csv,0.002782870612886328,0.09068473367910246,0.001969416126042632,0.003969449225473322,0.0012768465165007858,0.0841553025287965,0.005475473321858864,0.08596120746723156,0.003646729776247848,0.08969443469050593,83.0
Jackmo23045.csv,0.006488688015476886,0.029467522180929316,0.009154440880866628,0.007810398668404585,0.011178837192227176,0.010193668996033169,0.023505399625184824,0.013712361787644758,0.013826209203019267,0.02737547211587803,297.0
VETS1775.csv,0.008862384083332762,0.039828671025938414,0.016499923186781278,0.03147717762034664,0.01103319514077155,0.02946935735151065,0.03263009648677266,0.0302325824473103,0.01933737378683844,0.054886851733261154,240.0
mr_jferg.csv,0.011526954624758843,0.050167644896796385,0.014224965121824706,0.022078449337353725,0.016211464591538535,0.03211598381417962,0.034584494333286836,0.035407501689129824,0.016284714615033846,0.07916215255892463,1622.0
Oleblloyd.csv,0.0017787393622376304,0.028560779148152245,0.0069329707624833595,0.013435488246683313,0.008528615601605307,0.014694340950898345,0.013353976397095397,0.01638041265186574,0.008097311025397637,0.05424046724585922,188.0
Anc5E08.csv,0.01769177134346852,0.025036713837266335,0.010534594168723797,0.020348382986465262,0.01910886776732295,0.012547763910899783,0.04310894560098835,0.014049767354079696,0.020130404299019966,0.03545628949541969,180.0
Team_Harbaugh.csv,0.006816571224233862,0.046453848004261895,0.014032983285231927,0.01669703475209842,0.012485734828710977,0.023003441660954096,0.025914411174081727,0.03009979979516394,0.015530537391971083,0.06937712959253013,1040.0
mpdubois.csv,0.0014772890712740337,0.030392170657592612,0.005625578852237937,0.013012549382992298,0.006470455650074866,0.011714820279140743,0.011920548943726635,0.018292650298347313,0.007286657294555191,0.04346502275537046,147.0
OriginalSeanD.csv,0.012660606645062352,0.0322290741082983,0.014834938065395872,0.020563152463338636,0.01402336394547384,0.02814323678748048,0.038524979288071866,0.023529762055815993,0.016441461186910124,0.05985287198671038,1604.0
ambjg.csv,0.013113252039434442,0.03901256049917201,0.014353877275681316,0.019711643014744387,0.017650852173478452,0.020639461415794508,0.03598057983829579,0.02332278594524956,0.016955258108924943,0.0490141971060155,2541.0
ShabbyDogQ.csv,0.02545415593211946,0.04086671845513606,0.015478581879924683,0.021591918151185382,0.0193161998183709,0.020329408802580766,0.05557780217038429,0.026107632807607608,0.02570259681298775,0.05134016312765211,3176.0
madame_briar.csv,0.016230301818802043,0.050217407439598544,0.0178380498901562,0.021745163685764454,0.01667907437409018,0.04470245598739417,0.040260846955401705,0.032377631367483437,0.017146605130451836,0.08116496289027231,1965.0
warrior_vet.csv,0.027699369255320527,0.037816021283124175,0.018837372889785722,0.027235173192503827,0.024117661942460355,0.02756005888163767,0.05262655433234388,0.02364424651894683,0.029608469928373196,0.050093469414628965,4426.0
tweetsbyjulio.csv,0.004264336057943487,0.014032961802669464,0.005214033678958875,0.007753271001957828,0.005331134981181786,0.010676284461455935,0.012771538743873887,0.011437243317271157,0.006706360633813387,0.02294004344240532,25487.0
janus96159274.csv,0.03204080864937801,0.0378689588623497,0.01936819039263839,0.03305724296011151,0.028979845338817267,0.018738154637620193,0.07297169924291805,0.025616090373580612,0.02772398896084602,0.0652145478956301,81.0
dgartdeco.csv,0.011430298295967109,0.05842622520729343,0.015493614245983315,0.01663986567576129,0.016443473524285074,0.04983857578687909,0.03572249946598653,0.034057091793029605,0.014631934339685012,0.08591900103941211,1133.0
RaeRealtor.csv,0.005227402123115944,0.032149606928404885,0.013250483437618237,0.007508488122808039,0.010559896059255062,0.02857169093492865,0.020551505328543496,0.025053430980939356,0.010078009033050568,0.052602317936852244,568.0
LsfarmLw.csv,0.023916922304569908,0.04839102316478025,0.03055082662708392,0.02671138904626075,0.033072712770403065,0.04334414192517804,0.055876665613819584,0.04021463850125164,0.030591063759819268,0.07380205041215183,4360.0
frantny.csv,0.012741427597115202,0.06354602384941829,0.03047329446947443,0.018889064853599796,0.015027358512078376,0.058004699860599696,0.039280187513023666,0.05178862155706659,0.016666474277286743,0.10440705769371787,186.0
aliens2018.csv,0.012119162308460435,0.03027655674920192,0.015658967084492742,0.010626700414843586,0.015434608248707,0.02200107292122781,0.02960853043904012,0.016785048745055094,0.014421849255979714,0.04353977383195007,788.0
DameKathy.csv,0.01748675036713612,0.04676084126647794,0.018407371348953747,0.025211177190454907,0.021234512842997627,0.027469183779278948,0.04861895360512459,0.029902505404272185,0.02284645197557523,0.05946480428764338,1604.0
mmillerjunior.csv,0.014717240644522603,0.03446280868161725,0.012965813044455736,0.01537517869905191,0.014331447497883716,0.02721094220642533,0.0336559266066093,0.028972361829909015,0.020658868756643023,0.056607634008971154,753.0
CharlieLance.csv,0.01211440574437298,0.02685369829225425,0.008265841819303007,0.025055960774118393,0.015510817865479937,0.01731166572053839,0.03975793693048395,0.020447560995188168,0.019639314841807396,0.04432799349091136,1626.0
Lucky_Mango.csv,0.0,0.060004398994230386,0.024485546509437718,0.015430227837438864,0.013211382113821137,0.07212375320175501,0.02707497448351107,0.06416280245008875,0.006653779824511531,0.08742384247732847,82.0
